date,energy_scalar
2022-01-1 00:00:00,1.17
2022-01-1 01:00:00,0.92
2022-01-1 02:00:00,0.92
2022-01-1 03:00:00,0.94
2022-01-1 04:00:00,0.97
2022-01-1 05:00:00,1.06
2022-01-1 06:00:00,1.44
2022-01-1 07:00:00,1.73
2022-01-1 08:00:00,1.21
2022-01-1 09:00:00,0.94
2022-01-1 10:00:00,0.91
2022-01-1 11:00:00,0.84
2022-01-1 12:00:00,0.79
2022-01-1 13:00:00,0.73
2022-01-1 14:00:00,0.66
2022-01-1 15:00:00,0.65
2022-01-1 16:00:00,0.72
2022-01-1 17:00:00,1.25
2022-01-1 18:00:00,1.16
2022-01-1 19:00:00,1.04
2022-01-1 20:00:00,1.00
2022-01-1 21:00:00,0.92
2022-01-1 22:00:00,1.03
2022-01-1 23:00:00,0.98
2022-02-1 00:00:00,0.87
2022-02-1 01:00:00,0.69
2022-02-1 02:00:00,0.79
2022-02-1 03:00:00,0.75
2022-02-1 04:00:00,0.95
2022-02-1 05:00:00,1.04
2022-02-1 06:00:00,1.65
2022-02-1 07:00:00,2.15
2022-02-1 08:00:00,2.45
2022-02-1 09:00:00,2.61
2022-02-1 10:00:00,1.18
2022-02-1 11:00:00,0.52
2022-02-1 12:00:00,0.48
2022-02-1 13:00:00,0.43
2022-02-1 14:00:00,0.39
2022-02-1 15:00:00,0.38
2022-02-1 16:00:00,0.38
2022-02-1 17:00:00,0.54
2022-02-1 18:00:00,0.81
2022-02-1 19:00:00,0.67
2022-02-1 20:00:00,0.63
2022-02-1 21:00:00,0.73
2022-02-1 22:00:00,0.94
2022-02-1 23:00:00,1.97
2022-03-1 00:00:00,1.28
2022-03-1 01:00:00,0.90
2022-03-1 02:00:00,0.82
2022-03-1 03:00:00,0.80
2022-03-1 04:00:00,0.83
2022-03-1 05:00:00,0.91
2022-03-1 06:00:00,1.33
2022-03-1 07:00:00,1.17
2022-03-1 08:00:00,0.79
2022-03-1 09:00:00,0.75
2022-03-1 10:00:00,0.69
2022-03-1 11:00:00,0.70
2022-03-1 12:00:00,0.76
2022-03-1 13:00:00,0.77
2022-03-1 14:00:00,0.76
2022-03-1 15:00:00,0.72
2022-03-1 16:00:00,0.71
2022-03-1 17:00:00,0.78
2022-03-1 18:00:00,1.51
2022-03-1 19:00:00,2.17
2022-03-1 20:00:00,1.43
2022-03-1 21:00:00,0.96
2022-03-1 22:00:00,1.35
2022-03-1 23:00:00,1.11
2022-04-1 00:00:00,1.08
2022-04-1 01:00:00,0.90
2022-04-1 02:00:00,0.86
2022-04-1 03:00:00,0.81
2022-04-1 04:00:00,0.85
2022-04-1 05:00:00,0.96
2022-04-1 06:00:00,0.89
2022-04-1 07:00:00,0.78
2022-04-1 08:00:00,0.72
2022-04-1 09:00:00,0.64
2022-04-1 10:00:00,0.66
2022-04-1 11:00:00,0.62
2022-04-1 12:00:00,1.26
2022-04-1 13:00:00,0.95
2022-04-1 14:00:00,1.05
2022-04-1 15:00:00,1.00
2022-04-1 16:00:00,0.95
2022-04-1 17:00:00,0.91
2022-04-1 18:00:00,0.86
2022-04-1 19:00:00,1.74
2022-04-1 20:00:00,1.87
2022-04-1 21:00:00,1.09
2022-04-1 22:00:00,1.34
2022-04-1 23:00:00,1.19
2022-05-1 00:00:00,1.22
2022-05-1 01:00:00,0.99
2022-05-1 02:00:00,0.84
2022-05-1 03:00:00,0.75
2022-05-1 04:00:00,0.74
2022-05-1 05:00:00,0.86
2022-05-1 06:00:00,0.53
2022-05-1 07:00:00,0.56
2022-05-1 08:00:00,0.54
2022-05-1 09:00:00,0.54
2022-05-1 10:00:00,0.51
2022-05-1 11:00:00,0.61
2022-05-1 12:00:00,0.64
2022-05-1 13:00:00,0.76
2022-05-1 14:00:00,1.55
2022-05-1 15:00:00,1.81
2022-05-1 16:00:00,2.59
2022-05-1 17:00:00,1.65
2022-05-1 18:00:00,0.83
2022-05-1 19:00:00,0.89
2022-05-1 20:00:00,1.14
2022-05-1 21:00:00,0.83
2022-05-1 22:00:00,1.37
2022-05-1 23:00:00,1.22
2022-06-1 00:00:00,1.07
2022-06-1 01:00:00,1.00
2022-06-1 02:00:00,0.89
2022-06-1 03:00:00,0.86
2022-06-1 04:00:00,0.87
2022-06-1 05:00:00,0.90
2022-06-1 06:00:00,0.68
2022-06-1 07:00:00,0.67
2022-06-1 08:00:00,0.67
2022-06-1 09:00:00,0.67
2022-06-1 10:00:00,0.74
2022-06-1 11:00:00,0.85
2022-06-1 12:00:00,1.00
2022-06-1 13:00:00,1.12
2022-06-1 14:00:00,1.25
2022-06-1 15:00:00,1.21
2022-06-1 16:00:00,1.25
2022-06-1 17:00:00,1.19
2022-06-1 18:00:00,1.18
2022-06-1 19:00:00,1.20
2022-06-1 20:00:00,1.26
2022-06-1 21:00:00,1.05
2022-06-1 22:00:00,1.28
2022-06-1 23:00:00,1.13
2022-07-1 00:00:00,1.05
2022-07-1 01:00:00,0.97
2022-07-1 02:00:00,0.92
2022-07-1 03:00:00,0.87
2022-07-1 04:00:00,0.85
2022-07-1 05:00:00,0.89
2022-07-1 06:00:00,0.25
2022-07-1 07:00:00,0.25
2022-07-1 08:00:00,0.25
2022-07-1 09:00:00,0.24
2022-07-1 10:00:00,0.31
2022-07-1 11:00:00,0.40
2022-07-1 12:00:00,0.62
2022-07-1 13:00:00,0.91
2022-07-1 14:00:00,1.51
2022-07-1 15:00:00,2.36
2022-07-1 16:00:00,2.59
2022-07-1 17:00:00,2.39
2022-07-1 18:00:00,1.74
2022-07-1 19:00:00,1.00
2022-07-1 20:00:00,0.78
2022-07-1 21:00:00,0.40
2022-07-1 22:00:00,1.31
2022-07-1 23:00:00,1.15
2022-08-1 00:00:00,1.05
2022-08-1 01:00:00,0.98
2022-08-1 02:00:00,0.91
2022-08-1 03:00:00,0.89
2022-08-1 04:00:00,0.90
2022-08-1 05:00:00,0.98
2022-08-1 06:00:00,0.68
2022-08-1 07:00:00,0.67
2022-08-1 08:00:00,0.67
2022-08-1 09:00:00,0.65
2022-08-1 10:00:00,0.74
2022-08-1 11:00:00,0.85
2022-08-1 12:00:00,0.95
2022-08-1 13:00:00,1.22
2022-08-1 14:00:00,1.38
2022-08-1 15:00:00,1.31
2022-08-1 16:00:00,1.30
2022-08-1 17:00:00,1.11
2022-08-1 18:00:00,0.97
2022-08-1 19:00:00,1.34
2022-08-1 20:00:00,1.35
2022-08-1 21:00:00,0.81
2022-08-1 22:00:00,1.19
2022-08-1 23:00:00,1.11
2022-09-1 00:00:00,1.05
2022-09-1 01:00:00,0.97
2022-09-1 02:00:00,0.92
2022-09-1 03:00:00,0.89
2022-09-1 04:00:00,0.92
2022-09-1 05:00:00,1.00
2022-09-1 06:00:00,0.78
2022-09-1 07:00:00,0.78
2022-09-1 08:00:00,0.73
2022-09-1 09:00:00,0.70
2022-09-1 10:00:00,0.74
2022-09-1 11:00:00,0.82
2022-09-1 12:00:00,0.91
2022-09-1 13:00:00,1.06
2022-09-1 14:00:00,1.10
2022-09-1 15:00:00,1.17
2022-09-1 16:00:00,1.15
2022-09-1 17:00:00,1.13
2022-09-1 18:00:00,1.40
2022-09-1 19:00:00,1.59
2022-09-1 20:00:00,1.03
2022-09-1 21:00:00,0.91
2022-09-1 22:00:00,1.19
2022-09-1 23:00:00,1.07
2022-10-1 00:00:00,1.06
2022-10-1 01:00:00,0.92
2022-10-1 02:00:00,0.88
2022-10-1 03:00:00,0.89
2022-10-1 04:00:00,0.91
2022-10-1 05:00:00,1.04
2022-10-1 06:00:00,0.82
2022-10-1 07:00:00,0.87
2022-10-1 08:00:00,0.81
2022-10-1 09:00:00,0.72
2022-10-1 10:00:00,0.72
2022-10-1 11:00:00,0.79
2022-10-1 12:00:00,0.71
2022-10-1 13:00:00,0.77
2022-10-1 14:00:00,0.84
2022-10-1 15:00:00,0.90
2022-10-1 16:00:00,1.06
2022-10-1 17:00:00,1.22
2022-10-1 18:00:00,2.58
2022-10-1 19:00:00,1.48
2022-10-1 20:00:00,0.88
2022-10-1 21:00:00,0.82
2022-10-1 22:00:00,1.21
2022-10-1 23:00:00,1.11
2022-11-1 00:00:00,0.96
2022-11-1 01:00:00,0.95
2022-11-1 02:00:00,0.92
2022-11-1 03:00:00,0.96
2022-11-1 04:00:00,1.00
2022-11-1 05:00:00,1.19
2022-11-1 06:00:00,1.13
2022-11-1 07:00:00,1.20
2022-11-1 08:00:00,0.98
2022-11-1 09:00:00,1.02
2022-11-1 10:00:00,0.92
2022-11-1 11:00:00,0.85
2022-11-1 12:00:00,0.81
2022-11-1 13:00:00,0.76
2022-11-1 14:00:00,0.76
2022-11-1 15:00:00,0.79
2022-11-1 16:00:00,1.05
2022-11-1 17:00:00,1.88
2022-11-1 18:00:00,1.30
2022-11-1 19:00:00,0.79
2022-11-1 20:00:00,0.92
2022-11-1 21:00:00,0.83
2022-11-1 22:00:00,0.99
2022-11-1 23:00:00,1.04
2022-12-1 00:00:00,0.88
2022-12-1 01:00:00,0.78
2022-12-1 02:00:00,0.77
2022-12-1 03:00:00,0.89
2022-12-1 04:00:00,0.89
2022-12-1 05:00:00,1.72
2022-12-1 06:00:00,2.45
2022-12-1 07:00:00,2.44
2022-12-1 08:00:00,1.09
2022-12-1 09:00:00,0.58
2022-12-1 10:00:00,0.52
2022-12-1 11:00:00,0.48
2022-12-1 12:00:00,0.45
2022-12-1 13:00:00,0.44
2022-12-1 14:00:00,0.43
2022-12-1 15:00:00,0.42
2022-12-1 16:00:00,0.61
2022-12-1 17:00:00,1.54
2022-12-1 18:00:00,1.08
2022-12-1 19:00:00,1.28
2022-12-1 20:00:00,1.28
2022-12-1 21:00:00,0.89
2022-12-1 22:00:00,1.14
2022-12-1 23:00:00,0.92
